Donor organization,Funding US$,Pledges US$
Central Emergency Response Fund,10000000,0
European Commission's Humanitarian Aid and Civil Protection Department,640342,0
"Germany, Government of",7284296,0
"Korea, Republic of, Government of",2000000,0
Not specified,67684,0
Private (individuals & organizations),376,0
"United Kingdom, Government of",9882448,0
"United States of America, Government of",6000000,0
World Food Programme,15187916,0
