#{"source_date": "Unknown", "extract_date": "2017-03-28", "update_frequency": "Every month", "source_key": "HDX", "source_url": "http://data.humdata.org/dataset/004daf8f-2f9e-417a-92ee-9e2187d2da7e/resource/2ad318c8-e4a0-4626-a7be-8c4a10c5daad/download/LCB_SnapShot_DataSets_24Jan17.xlsx---Incidents_By_Loc_Map.csv"}
Month #,Month,date,ADMIN1,ADMIN2,LOCATION,LATITUDE  ,LONGITUDE  
#date+month,#date+month,#date,#adm1,#adm2,#loc,#geo+lat,#geo+lng
5,May,2016-05-01,,Mayo-Tsanaga,Mayo-Tsanaga,10.459129,13.753252
6,Jun,2016-06-01,Adamawa,Madagali,Kaya,10.81551,13.41952
6,Jun,2016-06-01,Borno,Damboa,Damboa,11.156036,12.757583
6,Jun,2016-06-01,,Guzamala,Mairari,12.75587,13.4349
6,Jun,2016-06-01,,Kala/Balge,Wumbi,12.366667,14.35
6,Jun,2016-06-01,,Maiduguri,Maiduguri,11.846441,13.160274
6,Jun,2016-06-01,Diffa,Diffa,Bosso,27.397384,26.619016
6,Jun,2016-06-01,,,Ngagam,13.563114,12.858687
6,Jun,2016-06-01,,NGuigmi,Kabalewa,13.985898,12.978144
6,Jun,2016-06-01,Extreme-Nord,Diamare,Maroua,10.5909,14.3159
6,Jun,2016-06-01,,Logone-et-Chari,Blangoua,12.767559,14.575668
6,Jun,2016-06-01,,,Hile Alifa,12.69427,14.315356
6,Jun,2016-06-01,,,Lake Chad,12.94,14.27
6,Jun,2016-06-01,,Mayo-Sava,Gouzoudou,11.1106,14.038904
6,Jun,2016-06-01,,,Kalguiwa,11.15556,14.152072
6,Jun,2016-06-01,,,Limani,11.233056,14.171111
6,Jun,2016-06-01,,,Sandawadjiri,11.11436,13.93389
7,Jul,2016-07-01,Borno,Damboa,Damboa,11.156036,12.757583
7,Jul,2016-07-01,,Dikwa,Dalori,11.880902,14.164676
7,Jul,2016-07-01,Extreme-Nord,Logone-et-Chari,Fotokol,12.373082,14.227737
7,Jul,2016-07-01,,Mayo-Sava,Ganse,11.154288,14.071508
7,Jul,2016-07-01,,,Kolofata,11.162098,14.011511
7,Jul,2016-07-01,,,Maloumri,11.10208,14.03624
7,Jul,2016-07-01,,Mayo-Tsanaga,Gaboua,10.917472,13.98985
