Date,Country,Admin 1,Admin 2,IDPs,Refugees
#date,#country+name,#adm1,#adm2,#affected+idps,#affected+refugees
2016-12-08,Nigeria,YOBE,BADE,18102,
2016-12-08,Nigeria,YOBE,BURSARI,946,
2016-12-08,Nigeria,YOBE,DAMATURU,23455,
2016-12-08,Nigeria,YOBE,FIKA,5226,
2016-12-08,Nigeria,YOBE,FUNE,5187,
2016-12-08,Nigeria,YOBE,GEIDAM,5147,
2016-12-08,Nigeria,YOBE,GUJBA,12707,
2016-12-08,Nigeria,YOBE,GULANI,2847,
2016-12-08,Nigeria,YOBE,JAKUSKO,1332,
2016-12-08,Nigeria,YOBE,KARASAWA,5705,
2016-12-08,Nigeria,YOBE,MACHINA,1259,
2016-12-08,Nigeria,YOBE,NANGERE,2305,
2016-12-08,Nigeria,YOBE,NGURU,11207,
2016-12-08,Nigeria,YOBE,POTISKUM,21650,
2016-12-08,Nigeria,YOBE,TARMUWA,759,
2016-12-08,Nigeria,YOBE,YUNUSARI,3386,
2016-12-08,Nigeria,YOBE,YUSUFARI,1100,
2016-12-19,Cameroon,Extreme Nord,Mayo-Tsanaga,24258,60562
2016-12-19,Cameroon,Extreme Nord,Logone-et-Chari,92303,11883
2016-12-19,Cameroon,Extreme Nord,Diamare,4898,101
2016-12-19,Cameroon,Extreme Nord,Mayo-Sava,55911,0
2016-12-19,Cameroon,Extreme Nord,Mayo-Danay,15247,156
2016-12-19,Cameroon,Extreme Nord,Mayo-Kani,295,4
2016-12-19,Chad,Lac,Mamdi,19311,0
2016-12-19,Chad,NDjamena,NDjamena,,0
2016-12-19,Chad,Lac,Kaya,35378,8200
2016-12-19,Chad,Mayo-Kebbi Est ,Mayo-Boneye,,0
2016-12-19,Chad,Mayo-Kebbi Est ,Kabbia,,0
2016-12-19,Chad,Mayo-Kebbi Est ,Mayo-Lémié,,0
2016-12-19,Chad,Salamat,Barh Azoum,0,
2016-12-19,Chad,Lac,Fouli,50317,
2016-12-19,Niger ,Diffa,Diffa,121792,61371
2016-12-19,Niger ,Diffa,Bosso,13236,23253
2016-12-19,Niger ,Diffa,Nguigmi,44245,2956
2016-12-19,Niger ,Diffa,Maine Soroa,5131,948
2016-12-19,Niger ,Diffa,Goudoumaria,0,140
2016-12-19,Nigeria,ADAMAWA,DEMSA,378,
2016-12-19,Nigeria,ADAMAWA,FUFORE,5523,
2016-12-19,Nigeria,ADAMAWA,GANYE,478,
2016-12-19,Nigeria,ADAMAWA,GIREI,28337,
2016-12-19,Nigeria,ADAMAWA,GOMBI,3059,
2016-12-19,Nigeria,ADAMAWA,GUYUK,227,
2016-12-19,Nigeria,ADAMAWA,HONG,4121,
2016-12-19,Nigeria,ADAMAWA,JADA,713,
2016-12-19,Nigeria,ADAMAWA,LAMURDE,626,
2016-12-19,Nigeria,ADAMAWA,MADAGALI,21280,
2016-12-19,Nigeria,ADAMAWA,MAIHA,15103,
2016-12-19,Nigeria,ADAMAWA,MAYO - BELWA,426,
2016-12-19,Nigeria,ADAMAWA,MICHIKA,28205,
2016-12-19,Nigeria,ADAMAWA,MUBI NORTH,14253,
2016-12-19,Nigeria,ADAMAWA,MUBI SOUTH,7098,
2016-12-19,Nigeria,ADAMAWA,NUMAN,1046,
2016-12-19,Nigeria,ADAMAWA,SHELLENG,1295,
2016-12-19,Nigeria,ADAMAWA,SONG,2216,
2016-12-19,Nigeria,ADAMAWA,TOUNGO,405,
2016-12-19,Nigeria,ADAMAWA,YOLA NORTH,13560,
2016-12-19,Nigeria,ADAMAWA,YOLA SOUTH,20528,
2016-12-19,Nigeria,BORNO,ASKIRA / UBA,7442,
2016-12-19,Nigeria,BORNO,BAMA,39326,
2016-12-19,Nigeria,BORNO,BAYO,1223,
2016-12-19,Nigeria,BORNO,BIU,39277,
2016-12-19,Nigeria,BORNO,CHIBOK,2500,
2016-12-19,Nigeria,BORNO,DAMBOA,54063,
2016-12-19,Nigeria,BORNO,DIKWA,56509,
2016-12-19,Nigeria,BORNO,GUBIO,4550,
2016-12-19,Nigeria,BORNO,GWOZA,39551,
2016-12-19,Nigeria,BORNO,HAWUL,31654,
2016-12-19,Nigeria,BORNO,JERE,344294,
2016-12-19,Nigeria,BORNO,KAGA,15418,
2016-12-19,Nigeria,BORNO,KONDUGA,95783,
2016-12-19,Nigeria,BORNO,KWAYA / KUSAR,2676,
2016-12-19,Nigeria,BORNO,MAFA,5999,
2016-12-19,Nigeria,BORNO,MAGUMERI,2520,
2016-12-19,Nigeria,BORNO,MAIDUGURI M. C.,528765,
2016-12-19,Nigeria,BORNO,MONGUNO,79690,
2016-12-19,Nigeria,BORNO,NGALA,37428,
2016-12-19,Nigeria,BORNO,NGANZAI,3290,
2016-12-19,Nigeria,BORNO,SHANI,969,
2016-12-19,Nigeria,YOBE,BADE,18102,
2016-12-19,Nigeria,YOBE,BURSARI,946,
2016-12-19,Nigeria,YOBE,DAMATURU,23455,
2016-12-19,Nigeria,YOBE,FIKA,5226,
2016-12-19,Nigeria,YOBE,FUNE,5187,
2016-12-19,Nigeria,YOBE,GEIDAM,5147,
2016-12-19,Nigeria,YOBE,GUJBA,12707,
2016-12-19,Nigeria,YOBE,GULANI,2847,
2016-12-19,Nigeria,YOBE,JAKUSKO,1332,
2016-12-19,Nigeria,YOBE,KARASAWA,5705,
2016-12-19,Nigeria,YOBE,MACHINA,1259,
2016-12-19,Nigeria,YOBE,NANGERE,2305,
2016-12-19,Nigeria,YOBE,NGURU,11207,
2016-12-19,Nigeria,YOBE,POTISKUM,21650,
2016-12-19,Nigeria,YOBE,TARMUWA,759,
2016-12-19,Nigeria,YOBE,YUNUSARI,3386,
2016-12-19,Nigeria,YOBE,YUSUFARI,1100,
2017-01-11,Cameroon,Extreme Nord,Mayo-Tsanaga,28593,73355
2017-01-11,Cameroon,Extreme Nord,Logone-et-Chari,89643,12770
2017-01-11,Cameroon,Extreme Nord,Diamare,4963,128
2017-01-11,Cameroon,Extreme Nord,Mayo-Sava,55301,700
2017-01-11,Cameroon,Extreme Nord,Mayo-Danay,1555,156
2017-01-11,Cameroon,Extreme Nord,Mayo-Kani,240,3
2017-01-11,Chad,Lac,Kaya,29545,6191
2017-01-11,Chad,NDjamena,NDjamena,,3
2017-01-11,Chad,Lac,Kaya,6470,1263
2017-01-11,Chad,Mayo-Kebbi Est ,Mayo-Boneye,,571
2017-01-11,Chad,Mayo-Kebbi Est ,Kabbia,,15
2017-01-11,Chad,Mayo-Kebbi Est ,Mayo-Lémié,,232
2017-01-11,Chad,Salamat,Barh Azoum,64,
2017-01-11,Chad,Lac,Fouli,53086,
2017-01-11,Chad,,,,102
2017-01-11,Chad,Lac,Mamdi,19311,
2017-01-11,Niger ,Diffa,Diffa,60218,73280
2017-01-11,Niger ,Diffa,Bosso,18625,22918
2017-01-11,Niger ,Diffa,Nguigmi,3906,3914
2017-01-11,Niger ,Diffa,Maine Soroa,38174,4903
2017-01-11,Niger ,Diffa,Goudoumaria,397,371
2017-01-11,Nigeria,ADAMAWA,DEMSA,402,
2017-01-11,Nigeria,ADAMAWA,FUFORE,5094,
2017-01-11,Nigeria,ADAMAWA,GANYE,478,
2017-01-11,Nigeria,ADAMAWA,GIREI,22362,
2017-01-11,Nigeria,ADAMAWA,GOMBI,2841,
2017-01-11,Nigeria,ADAMAWA,GUYUK,219,
2017-01-11,Nigeria,ADAMAWA,HONG,3912,
2017-01-11,Nigeria,ADAMAWA,JADA,762,
2017-01-11,Nigeria,ADAMAWA,LAMURDE,586,
2017-01-11,Nigeria,ADAMAWA,MADAGALI,21080,
2017-01-11,Nigeria,ADAMAWA,MAIHA,15588,
2017-01-11,Nigeria,ADAMAWA,MAYO - BELWA,426,
2017-01-11,Nigeria,ADAMAWA,MICHIKA,27230,
2017-01-11,Nigeria,ADAMAWA,MUBI NORTH,12099,
2017-01-11,Nigeria,ADAMAWA,MUBI SOUTH,5601,
2017-01-11,Nigeria,ADAMAWA,NUMAN,1031,
2017-01-11,Nigeria,ADAMAWA,SHELLENG,987,
2017-01-11,Nigeria,ADAMAWA,SONG,2024,
2017-01-11,Nigeria,ADAMAWA,TOUNGO,405,
2017-01-11,Nigeria,ADAMAWA,YOLA NORTH,11631,
2017-01-11,Nigeria,ADAMAWA,YOLA SOUTH,16356,
2017-01-11,Nigeria,BORNO,ASKIRA / UBA,7470,
2017-01-11,Nigeria,BORNO,BAMA,29550,
2017-01-11,Nigeria,BORNO,BAYO,1200,
2017-01-11,Nigeria,BORNO,BIU,39639,
2017-01-11,Nigeria,BORNO,CHIBOK,10194,
2017-01-11,Nigeria,BORNO,DAMBOA,51084,
2017-01-11,Nigeria,BORNO,DIKWA,70791,
2017-01-11,Nigeria,BORNO,GUBIO,5650,
2017-01-11,Nigeria,BORNO,GWOZA,40517,
2017-01-11,Nigeria,BORNO,HAWUL,30147,
2017-01-11,Nigeria,BORNO,JERE,337357,
2017-01-11,Nigeria,BORNO,KAGA,15335,
2017-01-11,Nigeria,BORNO,KONDUGA,89733,
2017-01-11,Nigeria,BORNO,KWAYA / KUSAR,2342,
2017-01-11,Nigeria,BORNO,MAFA,6990,
2017-01-11,Nigeria,BORNO,MAGUMERI,2550,
2017-01-11,Nigeria,BORNO,MAIDUGURI M. C.,473577,
2017-01-11,Nigeria,BORNO,MONGUNO,88650,
2017-01-11,Nigeria,BORNO,NGALA,61761,
2017-01-11,Nigeria,BORNO,NGANZAI,5481,
2017-01-11,Nigeria,BORNO,SHANI,862,
2017-01-11,Nigeria,YOBE,BADE,17183,
2017-01-11,Nigeria,YOBE,BURSARI,1029,
2017-01-11,Nigeria,YOBE,DAMATURU,19884,
2017-01-11,Nigeria,YOBE,FIKA,5830,
2017-01-11,Nigeria,YOBE,FUNE,4814,
2017-01-11,Nigeria,YOBE,GEIDAM,6352,
2017-01-11,Nigeria,YOBE,GUJBA,12678,
2017-01-11,Nigeria,YOBE,GULANI,3374,
2017-01-11,Nigeria,YOBE,JAKUSKO,1433,
2017-01-11,Nigeria,YOBE,KARASAWA,5931,
2017-01-11,Nigeria,YOBE,MACHINA,1259,
2017-01-11,Nigeria,YOBE,NANGERE,2324,
2017-01-11,Nigeria,YOBE,NGURU,11207,
2017-01-11,Nigeria,YOBE,POTISKUM,14288,
2017-01-11,Nigeria,YOBE,TARMUWA,579,
2017-01-11,Nigeria,YOBE,YUNUSARI,3122,
2017-01-11,Nigeria,YOBE,YUSUFARI,982,
