Recipient organization,Requirements US$,Funding US$,Pledges US$,Coverage %,Country
OXFAM,10540034,0,0,0.0,Nigeria
OXFAM Netherlands (NOVIB),7436775,0,0,0.0,Nigeria
Office for the Coordination of Humanitarian Affairs,8630834,10672,0,0.1,Nigeria
Office of the High Commissioner for Human Rights,560517,0,0,0.0,Nigeria
Peacefront for Development Initiative,390000,0,0,0.0,Nigeria
Plan International,1441234,0,0,0.0,Nigeria
Première Urgence Internationale,18656950,0,0,0.0,Nigeria
Riplington Education Initiative,980000,0,0,0.0,Nigeria
SOS Children's Villages,1065950,0,0,0.0,Nigeria
Save the Children,21923762,142653,0,0.7,Nigeria
Society for Water and Sanitation,147500,0,0,0.0,Nigeria
Solidarites-France,6000000,0,0,0.0,Nigeria
Street Child Organization,3769730,0,0,0.0,Nigeria
TEARFUND,522170,0,0,0.0,Nigeria
United Nations Children's Fund,143027901,20014287,0,14.0,Nigeria
United Nations Department of Safety and Security,4062828,0,0,0.0,Nigeria
United Nations Development Programme,20160946,28701,0,0.1,Nigeria
United Nations High Commissioner for Refugees,66641143,4344862,0,6.5,Nigeria
United Nations Human Settlements Programme (UN-HABITAT),3922466,0,0,0.0,Nigeria
United Nations Population Fund,21397003,1521116,0,7.1,Nigeria
Women in the New Nigeria and Youth Empowerment Initiative,80523,0,0,0.0,Nigeria
World Food Programme,368554155,12533833,0,3.4,Nigeria
World Health Organization,37170501,5350999,0,14.4,Nigeria
ZOA,4161500,1060445,0,25.5,Nigeria
ACF - France,12452472,0,0,0.0,Chad
"Action pour la Protection de la Santé, de l'Environnement et la Lutte contre la Pénurie Alimentaire",656584,0,0,0.0,Chad
Agence Humanitaire Africaine,5173254,0,0,0.0,Chad
Agency for Technical Cooperation and Development,5670532,0,0,0.0,Chad
Alliance for International Medical Action,2410706,0,0,0.0,Chad
Association des Jeunes Arc-en-ciel pour la Stabilité Sociale en Afrique,425538,0,0,0.0,Chad
Association des volontaire de lutte anti-mine,251750,0,0,0.0,Chad
CARE International,16156366,0,0,0.0,Chad
Catholic Relief Services,1407851,0,0,0.0,Chad
Centre d'Appui aux Initiatives de Développement Local,316900,0,0,0.0,Chad
Cercle Humanitaire d'Appui aux Initiatives Locales de Développement,1292919,0,0,0.0,Chad
Christian Outreach Relief and Development,1467857,0,0,0.0,Chad
Cooperazione Internazionale - COOPI,5553585,261506,0,4.7,Chad
Food & Agriculture Organization of the United Nations,26100600,0,0,0.0,Chad
French Red Cross,1935000,0,0,0.0,Chad
Halt Death Stalker,455640,0,0,0.0,Chad
Handicap International,320000,0,0,0.0,Chad
Help-Tchad,6350000,0,0,0.0,Chad
INTERSOS Humanitarian Aid Organization,572500,0,0,0.0,Chad
Initiative Humanitaire pour le Développement Local,886420,0,0,0.0,Chad
International Aid Services,800000,0,0,0.0,Chad
International Medical Corps UK,417870,0,0,0.0,Chad
International Organization for Migration,8239000,0,0,0.0,Chad
International Rescue Committee,1706381,0,0,0.0,Chad
Office for the Coordination of Humanitarian Affairs,5053721,10672,0,0.2,Chad
Oxfam Intermon,33301480,0,0,0.0,Chad
Première Urgence - Aide Médicale Internationale,5629693,0,0,0.0,Chad
Secours Islamique France,1064650,0,0,0.0,Chad
TEARFUND,1351209,0,0,0.0,Chad
United Nations Children's Fund,57274208,0,0,0.0,Chad
United Nations High Commissioner for Refugees,162845308,2124552,0,1.3,Chad
United Nations Humanitarian Air Service,15329264,0,0,0.0,Chad
United Nations Population Fund,7231152,0,0,0.0,Chad
World Food Programme,178993698,0,0,0.0,Chad
World Health Organization,12296055,0,0,0.0,Chad
World Vision Chad,7218100,0,0,0.0,Chad
